ID	t	A0	notFoundBySE
236	14	0.30283	
237	0	0.581526	
237	1	0.555229	
237	5	0.282539	
237	7	0.386017	
237	14	0.329147	
238	0	0.532155	
238	1	0.507694	
238	3	0.476409	
238	5	0.439924	
238	7	0.411742	
238	14	0.289996	
239	3	0.483612	
239	5	0.436264	
239	7	0.346636	
239	10	0.355821	
239	14	0.300904	
240	0	0.471578	
240	1	0.457643	
240	3	0.409786	
240	5	0.360947	
240	7	0.363804	
240	10	0.344705	
240	14	0.293955	
241	0	0.356661	
241	1	0.478945	
241	5	0.311536	
241	7	0.309474	
241	14	0.315807	
242	0	0.557185	
242	3	0.518819	
242	10	0.0774011	
242	14	0.408466	
243	0	0.475521	
243	1	0.44898	
243	3	0.448111	
243	5	0.411627	
243	7	0.31045	
243	10	0.962511	
